Project,Child 1 Projects,Child 2 Projects,Description,Team,Lead,Target start date,Target launch/due date,Status,RAF Reporting,Hewlett Reporting,Final Product
,,,,,,,,,,,
REBOOT CONGRESS,,,,,Marci,,,,,,
,REBOOT CONGRESS REPORT,,,,,,,,,,
,,The Member Experience,"examines how Members are onboarded, equipped, and supported throughout their service—from new Member orientation through the tools and information systems that shape daily decision-making.",,Danielle,,,,,,
,,,,,,,,,,,
,,The Congressional Workforce,"addresses the staffing crisis head-on: compensation, retention, career paths, professional development, and the knowledge management systems needed to preserve institutional memory across inevitable turnover.",,Danielle,,,,,,
,,,,,,,,,,,
,,Constituent Engagement,reimagines the full stack of interactions between Congress and the public—from casework to policy input to civic education—for a digital age.,,Anne,,,,,,
,,,,,,,,,,,
,,Technology Governance,"tackles the procurement, development, and security challenges that have left Congress technologically behind, with specific attention to responsible AI adoption.",,Aubrey,,,,,,
,,,,,,,,,,,
,,Support Agencies Transformed,"envisions how CRS, CBO, GAO, and other congressional support offices can be integrated, modernized, and empowered to meet 21st-century demands.",,Marci,,,,,,
,,,,,,,,,,,
,,Oversight Reimagined,"proposes a new model for congressional oversight—one that emphasizes post-legislative scrutiny, real-time monitoring, and data-driven accountability over episodic hearings.",,Marci,,,,,,
,,,,,,,,,,,
,,Budgeting That Works,confronts the dysfunction of the current budget process and offers reforms calibrated to an era that demands both fiscal discipline and rapid response capability.,,Marci,,,,,,
,,,,,,,,,,,
,,Committees and Procedure,"examines the committee system, floor procedures, and parliamentary practices that structure how Congress does its work—and how they might evolve.",,Marci,,,,,,
,,,,,,,,,,,
,,The Legislative Product,"focuses on law drafting, codification, and the legislative record—the documentary output that is Congress's lasting contribution to American governance.",,Marci,,,,,,
,,,,,,,,,,,
,,Interbranch Relations,"addresses Congress's relationships with the executive and judicial branches, including the feedback loops needed to ensure laws work as intended.",,Anne,,,,,,
,,,,,,,,,,,
,,Global Learning,draws lessons from peer parliaments around the world that have pioneered innovations Congress can adapt.,,Aubrey,,,,,,
,,Civil Society and External Engagement,"considers Congress's relationship with the broader ecosystem of organizations, experts, and citizens that support democratic governance.",,Anne,,,,,,
,REBOOT CONGRESS EVENTS,,,,,,,,,,
,,Q1 Hill Event,,,,,,,,,
,,Q2 Hill Event,,,,,,,,,
,,Q3 Hill Event,,,,,,,,,
,,Q4 Hill Event,,,,,,,,,
,,,,,,,,,,,
REP BODIES V2,,,Vol II of Rep bodies launch,,Marci,,,,,,
,,,,,,,,,,,
CASEWORK NAVIGATOR,,,,,,,,,,,
,Casework Navigator Newsletter,,,,,,,,,,
,Casework Navigator Events,,,,,,,,,,
,,HDS data management workshop,,,,,,,,,
,,District briefing: full-stack const engage,,,,,,,,,
,,,,,,,,,,,
DEPARTURE DIALOGUES,,,,,,,,,,,
,DD Report,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
FUTUREPROOFING,,,,,,,,,,,
,FutureProofing Newsletter,,,,,,,,,,
,Hill briefing: future of staffing,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GAVEL IN,,,,,,,,,,,
,Podcast,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DIGITAL PARLIAMENTS PROJECT,,,,,,,,,,,
,PARLLINK,,,,,,,,,,
,,Hansard Transcription Tool,,,,,,,,,
,AFRICA DPP,,,,,,,,,,
,,UGANDA,,,,,,,,,
,,GHANA,,,,,,,,,
,,PAN-AFRICAN PARLIAMENT,,,,,,,,,
,CARIBBEAN DPP,,,,,,,,,,
,,BAHAMAS,,,,,,,,,
,,JAMAICA,,,,,,,,,
,,BELIZE,,,,,,,,,
,,DOMINICA,,,,,,,,,
,,SAINT LUCIA,,,,,,,,,
,,ST VINCENT & GRENADINES,,,,,,,,,
,,BARBADOS,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
APPROPRIATIONS,,,,,,,,,,,
,House Requests,,,,,,,,,,
,Senate Requests,,,,,,,,,,
,ApproPRO tool,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NEW MEMBER ORIENTATION,,,,,,,,,,,
,,,,,,,,,,,
120th RULES PACKAGE,,,,,,,,,,,
,,,,,,,,,,,
GLOBAL PARTNERSHIPS,,,,,,,,,,,
,US/UK FELLOWSHIP WFD,,,,,,,,,,
,IPU/CPA TECH COLLAB,,,,,,,,,,
,GLOBAL TRAININGS,,,,,,,,,,
,,,,,,,,,,,
STATES,,,,,,,,,,,
,NCSL,,,,,,,,,,
,,,,,,,,,,,
RECONSTITUTION,,,,,,,,,,,
